Training Area / Equipment,Sessions / Records,Trainee Count if available,Notes
Oxygen Concentrator — Operational Training,5,5,Source department Adult Emergency in workbook; trainer/date recorded where available (date 2015-10-02).
Patient Monitor — Operational Training,4,4,Source department Adult Emergency in workbook; trainer/date recorded where available (date 2015-10-02).
Suction Machine — Operational Training,3,3,Source department Adult Emergency in workbook; trainer/date recorded where available (date 2015-10-02).
